sidoname,cityname,pm25value,pm10value,datetime,day,week
제주,제주,14.0,23.0,2022-03-14T14:00:00.000Z,2022-03-14T00:00:00.000Z,2022-03-14T00:00:00.000Z
제주,제주,10.0,16.0,2022-03-19T04:00:00.000Z,2022-03-19T00:00:00.000Z,2022-03-14T00:00:00.000Z
제주,제주,8.0,13.0,2022-03-22T01:00:00.000Z,2022-03-22T00:00:00.000Z,2022-03-21T00:00:00.000Z
제주,제주,11.0,31.0,2022-03-25T21:00:00.000Z,2022-03-25T00:00:00.000Z,2022-03-21T00:00:00.000Z
제주,제주,15.0,33.0,2022-03-26T17:00:00.000Z,2022-03-26T00:00:00.000Z,2022-03-21T00:00:00.000Z
제주,제주,18.0,29.0,2022-03-22T13:00:00.000Z,2022-03-22T00:00:00.000Z,2022-03-21T00:00:00.000Z
제주,제주,9.0,15.0,2022-03-20T07:00:00.000Z,2022-03-20T00:00:00.000Z,2022-03-14T00:00:00.000Z
제주,제주,13.0,25.0,2022-03-26T16:00:00.000Z,2022-03-26T00:00:00.000Z,2022-03-21T00:00:00.000Z
제주,제주,6.0,18.0,2022-03-07T06:00:00.000Z,2022-03-07T00:00:00.000Z,2022-03-07T00:00:00.000Z
제주,제주,10.0,30.0,2022-03-07T14:00:00.000Z,2022-03-07T00:00:00.000Z,2022-03-07T00:00:00.000Z
제주,제주,42.0,74.0,2022-03-09T01:00:00.000Z,2022-03-09T00:00:00.000Z,2022-03-07T00:00:00.000Z
제주,제주,12.0,20.0,2022-03-14T04:00:00.000Z,2022-03-14T00:00:00.000Z,2022-03-14T00:00:00.000Z
제주,제주,22.0,41.0,2022-03-25T09:00:00.000Z,2022-03-25T00:00:00.000Z,2022-03-21T00:00:00.000Z
제주,제주,13.0,25.0,2022-03-26T11:00:00.000Z,2022-03-26T00:00:00.000Z,2022-03-21T00:00:00.000Z
제주,제주,38.0,71.0,2022-03-08T23:00:00.000Z,2022-03-08T00:00:00.000Z,2022-03-07T00:00:00.000Z
제주,제주,23.0,48.0,2022-03-10T13:00:00.000Z,2022-03-10T00:00:00.000Z,2022-03-07T00:00:00.000Z
제주,제주,22.0,46.0,2022-03-17T03:00:00.000Z,2022-03-17T00:00:00.000Z,2022-03-14T00:00:00.000Z
제주,제주,7.0,22.0,2022-03-13T14:00:00.000Z,2022-03-13T00:00:00.000Z,2022-03-07T00:00:00.000Z
제주,제주,24.0,35.0,2022-03-23T14:00:00.000Z,2022-03-23T00:00:00.000Z,2022-03-21T00:00:00.000Z
제주,제주,13.0,40.0,2022-03-08T08:00:00.000Z,2022-03-08T00:00:00.000Z,2022-03-07T00:00:00.000Z
제주,제주,5.0,17.0,2022-03-18T08:00:00.000Z,2022-03-18T00:00:00.000Z,2022-03-14T00:00:00.000Z
제주,제주,17.0,28.0,2022-03-21T21:00:00.000Z,2022-03-21T00:00:00.000Z,2022-03-21T00:00:00.000Z
제주,제주,5.0,13.0,2022-03-18T01:00:00.000Z,2022-03-18T00:00:00.000Z,2022-03-14T00:00:00.000Z
제주,제주,7.0,14.0,2022-03-18T18:00:00.000Z,2022-03-18T00:00:00.000Z,2022-03-14T00:00:00.000Z
