sidoname,cityname,pm10value,pm25value,datetime
충남,태안군,28,14,2022-04-02T11:00:00.000+0000
충남,홍성군,20,10,2022-04-02T11:00:00.000+0000
충남,계룡시,38,9,2022-04-02T11:00:00.000+0000
부산,강서구,17,10,2022-04-02T11:00:00.000+0000
부산,금정구,14,7,2022-04-02T11:00:00.000+0000
부산,기장군,20,10,2022-04-02T11:00:00.000+0000
부산,남구,22,6,2022-04-02T11:00:00.000+0000
부산,동구,28,12,2022-04-02T11:00:00.000+0000
부산,동래구,15,12,2022-04-02T11:00:00.000+0000
부산,부산진구,27,11,2022-04-02T11:00:00.000+0000
부산,북구,16,11,2022-04-02T11:00:00.000+0000
부산,사상구,21,13,2022-04-02T11:00:00.000+0000
부산,사하구,23,8,2022-04-02T11:00:00.000+0000
부산,서구,23,12,2022-04-02T11:00:00.000+0000
부산,수영구,24,10,2022-04-02T11:00:00.000+0000
부산,연제구,24,13,2022-04-02T11:00:00.000+0000
부산,영도구,18,8,2022-04-02T11:00:00.000+0000
부산,중구,16,10,2022-04-02T11:00:00.000+0000
부산,해운대구,17,8,2022-04-02T11:00:00.000+0000
전남,무안군,22,13,2022-04-02T11:00:00.000+0000
전남,보성군,21,16,2022-04-02T11:00:00.000+0000
전남,순천시,14,5,2022-04-02T11:00:00.000+0000
전남,신안군,10,5,2022-04-02T11:00:00.000+0000
전남,여수시,20,10,2022-04-02T11:00:00.000+0000
전남,영광군,20,14,2022-04-02T11:00:00.000+0000
전남,영암군,38,26,2022-04-02T11:00:00.000+0000
전남,완도군,10,null,2022-04-02T11:00:00.000+0000
전남,장성군,24,12,2022-04-02T11:00:00.000+0000
전남,장흥군,22,10,2022-04-02T11:00:00.000+0000
전남,진도군,18,10,2022-04-02T11:00:00.000+0000
전남,함평군,11,9,2022-04-02T11:00:00.000+0000
전남,해남군,29,20,2022-04-02T11:00:00.000+0000
전남,화순군,18,6,2022-04-02T11:00:00.000+0000
전북,고창군,20,12,2022-04-02T11:00:00.000+0000
전북,군산시,30,14,2022-04-02T11:00:00.000+0000
전북,김제시,33,20,2022-04-02T11:00:00.000+0000
전북,남원시,23,16,2022-04-02T11:00:00.000+0000
전북,무주군,17,12,2022-04-02T11:00:00.000+0000
전북,부안군,26,21,2022-04-02T11:00:00.000+0000
전북,순창군,19,9,2022-04-02T11:00:00.000+0000
전북,완주군,34,25,2022-04-02T11:00:00.000+0000
전북,익산시,31,17,2022-04-02T11:00:00.000+0000
전북,임실군,23,14,2022-04-02T11:00:00.000+0000
전북,장수군,12,6,2022-04-02T11:00:00.000+0000
전북,전주시,33,19,2022-04-02T11:00:00.000+0000
전북,정읍시,25,16,2022-04-02T11:00:00.000+0000
전북,진안군,29,15,2022-04-02T11:00:00.000+0000
충북,괴산군,24,14,2022-04-02T11:00:00.000+0000
충북,단양군,38,18,2022-04-02T11:00:00.000+0000
충북,보은군,24,14,2022-04-02T11:00:00.000+0000
충북,영동군,26,14,2022-04-02T11:00:00.000+0000
충북,옥천군,34,17,2022-04-02T11:00:00.000+0000
충북,음성군,30,21,2022-04-02T11:00:00.000+0000
충북,제천시,45,22,2022-04-02T11:00:00.000+0000
충북,진천군,31,21,2022-04-02T11:00:00.000+0000
충북,청주시,34,21,2022-04-02T11:00:00.000+0000
충북,충주시,26,13,2022-04-02T11:00:00.000+0000
충북,증평군,35,21,2022-04-02T11:00:00.000+0000
인천,강화군,42,19,2022-04-02T11:00:00.000+0000
인천,계양구,42,27,2022-04-02T11:00:00.000+0000
인천,미추홀구,41,23,2022-04-02T11:00:00.000+0000
인천,남동구,35,24,2022-04-02T11:00:00.000+0000
인천,동구,47,19,2022-04-02T11:00:00.000+0000
인천,부평구,35,21,2022-04-02T11:00:00.000+0000
인천,서구,45,28,2022-04-02T11:00:00.000+0000
인천,연수구,41,23,2022-04-02T11:00:00.000+0000
전남,강진군,14,8,2022-04-02T11:00:00.000+0000
전남,고흥군,23,9,2022-04-02T11:00:00.000+0000
전남,곡성군,21,15,2022-04-02T11:00:00.000+0000
전남,광양시,22,9,2022-04-02T11:00:00.000+0000
전남,구례군,23,7,2022-04-02T11:00:00.000+0000
전남,나주시,21,15,2022-04-02T11:00:00.000+0000
전남,담양군,25,17,2022-04-02T11:00:00.000+0000
전남,목포시,16,10,2022-04-02T11:00:00.000+0000
강원,인제군,20,9,2022-04-02T11:00:00.000+0000
강원,정선군,23,15,2022-04-02T11:00:00.000+0000
강원,철원군,34,19,2022-04-02T11:00:00.000+0000
강원,춘천시,28,15,2022-04-02T11:00:00.000+0000
강원,태백시,37,15,2022-04-02T11:00:00.000+0000
강원,평창군,23,11,2022-04-02T11:00:00.000+0000
강원,홍천군,27,13,2022-04-02T11:00:00.000+0000
강원,화천군,29,13,2022-04-02T11:00:00.000+0000
강원,횡성군,22,15,2022-04-02T11:00:00.000+0000
강원,강릉시,28,13,2022-04-02T11:00:00.000+0000
강원,고성군,20,15,2022-04-02T11:00:00.000+0000
강원,동해시,28,21,2022-04-02T11:00:00.000+0000
강원,삼척시,33,20,2022-04-02T11:00:00.000+0000
강원,속초시,23,10,2022-04-02T11:00:00.000+0000
강원,양구군,18,null,2022-04-02T11:00:00.000+0000
강원,양양군,26,12,2022-04-02T11:00:00.000+0000
강원,영월군,17,11,2022-04-02T11:00:00.000+0000
강원,원주시,26,15,2022-04-02T11:00:00.000+0000
대구,남구,28,15,2022-04-02T11:00:00.000+0000
대구,달서구,30,15,2022-04-02T11:00:00.000+0000
대구,달성군,29,17,2022-04-02T11:00:00.000+0000
대구,동구,29,17,2022-04-02T11:00:00.000+0000
대구,북구,31,15,2022-04-02T11:00:00.000+0000
대구,서구,30,20,2022-04-02T11:00:00.000+0000
대구,수성구,37,16,2022-04-02T11:00:00.000+0000
대구,중구,30,17,2022-04-02T11:00:00.000+0000
대전,대덕구,37,30,2022-04-02T11:00:00.000+0000
대전,동구,30,18,2022-04-02T11:00:00.000+0000
대전,서구,7,null,2022-04-02T11:00:00.000+0000
대전,유성구,29,17,2022-04-02T11:00:00.000+0000
대전,중구,29,25,2022-04-02T11:00:00.000+0000
광주,광산구,32,19,2022-04-02T11:00:00.000+0000
광주,남구,28,21,2022-04-02T11:00:00.000+0000
광주,동구,35,22,2022-04-02T11:00:00.000+0000
광주,북구,23,16,2022-04-02T11:00:00.000+0000
광주,서구,29,21,2022-04-02T11:00:00.000+0000
울산,남구,33,18,2022-04-02T11:00:00.000+0000
울산,동구,22,12,2022-04-02T11:00:00.000+0000
울산,북구,29,15,2022-04-02T11:00:00.000+0000
울산,울주군,19,11,2022-04-02T11:00:00.000+0000
울산,중구,19,12,2022-04-02T11:00:00.000+0000
세종,세종시,29,17,2022-04-02T11:00:00.000+0000
제주,서귀포시,20,12,2022-04-02T11:00:00.000+0000
제주,제주시,24,14,2022-04-02T11:00:00.000+0000
인천,옹진군,25,20,2022-04-02T11:00:00.000+0000
인천,중구,45,23,2022-04-02T11:00:00.000+0000
